id,type,ip,user_id,date
60,,128.135.204.220,15,2024-11-19 21:35:30.292346
61,,68.6.97.253,23,2024-11-22 23:39:27.844403
62,,187.189.242.146,8,2024-11-19 06:35:45.529952
63,,128.135.204.106,10,2024-11-19 20:40:55.163010
64,,99.89.92.138,25,2024-11-22 20:55:19.721222
65,,128.135.204.138,15,2024-11-18 20:21:28.235514
66,,172.59.219.57,25,2024-11-16 18:25:11.429143
67,,172.59.219.57,25,2024-11-16 18:25:11.400364
68,,172.59.219.57,25,2024-11-16 18:25:11.407522
69,,172.59.218.65,25,2024-11-16 18:29:44.174656
70,,172.59.218.184,25,2024-11-16 18:34:38.672742
71,,99.7.8.169,1,2024-11-16 19:53:01.757296
72,,103.16.147.69,27,2024-11-17 19:04:47.611159
